iter	Passed	Remaining
0	152	151964
1	157	78526
2	163	54249
3	168	41989
4	174	34664
5	179	29791
6	184	26235
7	190	23616
8	195	21532
9	201	19945
10	206	18563
11	212	17468
12	216	16424
13	221	15603
14	226	14902
15	232	14275
16	237	13712
17	242	13206
18	246	12714
19	251	12306
20	254	11854
21	258	11499
22	261	11111
23	265	10784
24	267	10449
25	270	10120
26	273	9852
27	275	9570
28	277	9305
29	280	9073
30	283	8854
31	285	8636
32	288	8443
33	290	8262
34	292	8078
35	295	7910
36	298	7759
37	300	7604
38	303	7467
39	306	7345
40	308	7209
41	310	7087
42	313	6978
43	315	6860
44	318	6762
45	322	6681
46	324	6585
47	327	6492
48	329	6388
49	331	6303
50	334	6217
51	337	6145
52	339	6062
53	341	5980
54	344	5914
55	346	5843
56	348	5771
57	351	5708
58	353	5645
59	356	5580
60	358	5522
61	361	5471
62	364	5413
63	366	5362
64	369	5315
65	372	5265
66	374	5219
67	377	5179
68	380	5129
69	382	5082
70	385	5040
71	387	4992
72	389	4948
73	392	4915
74	395	4874
75	397	4833
76	400	4800
77	402	4760
78	405	4722
79	407	4691
80	410	4652
81	412	4615
82	415	4585
83	417	4552
84	419	4519
85	422	4495
86	425	4466
87	428	4436
88	431	4412
89	433	4384
90	436	4359
91	439	4340
92	442	4311
93	444	4285
94	448	4269
95	451	4248
96	456	4245
97	458	4223
98	462	4206
99	465	4186
100	467	4163
101	471	4147
102	473	4126
103	476	4109
104	480	4094
105	483	4074
106	486	4060
107	489	4043
108	492	4025
109	495	4012
110	498	3995
111	502	3981
112	505	3966
113	508	3950
114	511	3939
115	515	3927
116	519	3918
117	522	3903
118	526	3894
119	529	3883
120	533	3872
121	536	3860
122	539	3846
123	543	3838
124	546	3823
125	549	3813
126	552	3800
127	556	3787
128	559	3776
129	562	3763
130	565	3753
131	568	3739
132	571	3726
133	575	3716
134	577	3702
135	581	3692
136	584	3679
137	588	3677
138	592	3667
139	594	3654
140	598	3647
141	601	3637
142	605	3628
143	608	3617
144	612	3609
145	615	3600
146	618	3591
147	622	3582
148	625	3571
149	628	3563
150	631	3552
151	634	3542
152	638	3534
153	641	3524
154	645	3517
155	648	3507
156	651	3497
157	654	3488
158	657	3477
159	661	3470
160	664	3460
161	667	3453
162	670	3444
163	673	3434
164	677	3429
165	680	3420
166	684	3413
167	687	3403
168	690	3396
169	694	3391
170	697	3383
171	701	3376
172	704	3368
173	708	3364
174	712	3356
175	715	3351
176	718	3342
177	723	3340
178	727	3335
179	731	3332
180	734	3324
181	738	3320
182	742	3313
183	746	3308
184	749	3300
185	752	3293
186	756	3288
187	759	3279
188	763	3274
189	766	3267
190	769	3260
191	772	3252
192	776	3245
193	779	3240
194	782	3231
195	786	3226
196	789	3219
197	793	3212
198	796	3206
199	799	3199
200	803	3194
201	806	3185
202	810	3180
203	813	3173
204	816	3166
205	820	3160
206	823	3153
207	826	3147
208	829	3139
209	832	3133
210	836	3126
211	839	3120
212	843	3115
213	846	3107
214	849	3102
