Calibre,Projectile Type,Projectile Dimension,dia,Projectile Mass,Total Mass with Sabot,Petal Burst Pressure,Powder Mass,Actual Velocity,Expected Velocity,Shape,s_type,Breadth,Height,Material,c_drag,Surface Area,Volume,SA/Vol,Density,Moment of Inertia,cd,Sabot Length,Plate Material,Plate Thickness,Impact Angle,Kinetic Energy,Perforated
29 mm,C,8.27,8.27,19.86,23.48,68.17,3.7,1082.31,1123.66,spherical,type2,9.5,13.16,steel,0.515,353.063,269.728,1.309,7800,0.457,0.163,95.18,Aluminum,14.6,21.7,11631.95,0
40 mm,A,14.94,14.94,23.03,24.77,22.46,5.93,813.09,811.89,ogive,type3,6.32,5.61,aluminum,0.515,830.858,292.643,2.839,2700,0.1615,0.546,63.5,Titanium,11.24,7.1,7612.74,0
40 mm,B,16.5,16.5,16.97,19.44,72.76,6.51,1032.28,1045.86,spherical,type2,6.4,11.36,tungsten,0.289,139.204,2433.399,0.057,19300,0.1168,0.173,20.13,Titanium,20.81,31.3,9041.63,0
29 mm,B,7.5,7.5,15.57,16.66,78.11,4.38,1587.38,1674.99,cylindrical,type2,6.13,3.22,steel,0.789,232.225,2089.828,0.111,7800,0.1541,0.512,95.59,Steel,7.55,20.1,19616.45,1
29 mm,C,5.66,5.66,22.8,23.83,64.53,3.98,1242.83,1234.95,ogive,type2,7.79,14.1,aluminum,0.473,871.102,2421.772,0.36,2700,0.4534,0.436,30.62,Aluminum,15.59,38.6,17608.74,1
40 mm,A,11.59,11.59,14.09,17.21,27.19,5.04,888.73,841.52,ogive,type1,12.56,7.84,aluminum,0.607,994.682,2308.254,0.431,2700,0.1642,0.171,86.72,Aluminum,29.46,29.3,5564.43,0
29 mm,B,16.61,16.61,21.23,22.58,68.44,5.1,1043.9,1072.86,spherical,type1,8.1,8.39,steel,0.8,146.731,1266.731,0.116,7800,0.1273,0.441,46.34,Steel,29.72,7.7,11567.45,0
40 mm,A,14.76,14.76,6.08,8.72,58.85,3.98,1748.94,1692.31,cylindrical,type3,14.92,9.41,tungsten,0.741,250.873,2812.452,0.089,19300,0.1742,0.064,65.44,Steel,17.95,18.5,9298.73,0
29 mm,C,15.53,15.53,5.03,8.12,40.33,6.3,1175.15,1164.62,spherical,type1,6.89,6.72,tungsten,0.339,750.621,2658.248,0.282,19300,0.266,0.18,86.86,Titanium,11.19,30.5,3473.16,0
29 mm,B,11.04,11.04,15.57,16.67,73.04,3.8,1185.76,1155.81,spherical,type1,11.09,11.43,steel,0.633,576.553,1175.385,0.491,7800,0.2986,0.207,24.01,Titanium,19.59,38.6,10945.92,0
40 mm,B,8.52,8.52,6.47,8.82,53.93,4.17,868.38,833.29,cylindrical,type2,9.14,2.19,steel,0.547,465.369,2364.235,0.197,7800,0.1944,0.539,74.4,Titanium,17.21,15.8,2439.46,0
40 mm,B,12.98,12.98,24.53,27.58,71.18,5.24,1035.01,1022.51,ogive,type3,11.91,4.11,tungsten,0.382,275.021,2495.043,0.11,19300,0.4223,0.553,31.89,Steel,6.06,30.1,13138.83,1
40 mm,A,8.07,8.07,5.11,8.78,60.21,7.91,1596.15,1641.14,ogive,type2,13.55,4.45,tungsten,0.229,950.892,1567.7,0.607,19300,0.4839,0.199,77.31,Aluminum,29.73,7.8,6509.36,0
40 mm,C,15.89,15.89,19.36,21.26,37.31,2.82,1564.82,1620.1,cylindrical,type2,8.65,10.26,steel,0.641,255.042,537.173,0.475,7800,0.2163,0.311,32.86,Steel,13.18,40.7,23703.04,1
40 mm,B,7.95,7.95,9.87,13.79,78.5,2.62,1179.05,1225.36,spherical,type2,8.43,13.58,aluminum,0.746,338.725,1135.359,0.298,2700,0.4724,0.59,21.76,Steel,14.98,25.9,6860.43,0
40 mm,A,9.37,9.37,24.35,27.88,54.26,2.24,1683.02,1699.84,spherical,type1,14.26,2.83,tungsten,0.859,391.868,2968.672,0.132,19300,0.4272,0.416,32.44,Titanium,17.84,34.6,34486.37,1
40 mm,B,12.6,12.6,12.63,15.58,51.01,5.83,1118.28,1105.39,spherical,type1,14.14,13.08,steel,0.448,224.725,2204.619,0.102,7800,0.4544,0.088,70.06,Steel,27.01,17.9,7897.22,0
29 mm,C,12.3,12.3,5.55,7.73,44.21,4.14,1650.76,1532.87,spherical,type1,14.96,12.65,tungsten,0.479,582.61,2369.19,0.246,19300,0.1239,0.265,98.86,Titanium,24.98,42.3,7561.9,0
40 mm,C,14.01,14.01,5.54,8.67,28.18,3.72,734.72,753.1,spherical,type3,4.03,3.0,tungsten,0.314,407.193,2753.388,0.148,19300,0.4336,0.282,97.61,Steel,10.14,32.4,1495.28,0
29 mm,B,11.56,11.56,16.07,19.52,61.17,2.43,1081.95,967.98,ogive,type3,2.05,3.86,steel,0.889,647.063,767.736,0.843,7800,0.3344,0.219,79.66,Aluminum,22.91,6.9,9405.9,0
40 mm,A,18.79,18.79,24.73,26.64,45.85,7.24,1640.58,1544.41,spherical,type1,7.69,6.55,tungsten,0.795,431.072,2911.531,0.148,19300,0.1153,0.336,85.97,Aluminum,26.86,24.8,33280.43,1
29 mm,B,17.6,17.6,24.6,28.58,76.08,4.1,1691.44,1683.36,spherical,type1,11.53,3.49,tungsten,0.87,204.781,1650.798,0.124,19300,0.4015,0.455,89.92,Titanium,22.86,12.2,35189.92,1
29 mm,B,18.19,18.19,11.75,15.48,77.91,5.25,1532.07,1545.3,cylindrical,type1,2.95,11.86,aluminum,0.547,885.338,2285.1,0.387,2700,0.1967,0.43,62.27,Titanium,8.48,37.5,13790.03,1
40 mm,B,14.44,14.44,14.65,17.11,66.06,1.79,1436.85,1414.3,spherical,type3,6.86,8.55,tungsten,0.347,558.687,1090.989,0.512,19300,0.4188,0.243,38.29,Aluminum,18.47,35.2,15122.74,0
40 mm,A,14.53,14.53,7.01,10.18,34.55,1.76,1597.06,1673.84,cylindrical,type2,9.56,7.34,tungsten,0.601,389.665,1122.339,0.347,19300,0.3504,0.455,72.89,Titanium,25.96,22.3,8939.86,0
40 mm,B,14.14,14.14,15.44,18.01,62.96,1.47,1478.31,1501.42,spherical,type3,4.76,11.42,aluminum,0.46,114.728,1206.879,0.095,2700,0.2969,0.344,31.33,Steel,9.89,13.6,16871.29,1
29 mm,B,11.52,11.52,16.99,20.27,21.23,3.57,979.64,967.17,spherical,type2,11.5,5.81,steel,0.444,638.062,1174.565,0.543,7800,0.1094,0.473,86.59,Titanium,18.46,38.4,8152.61,0
40 mm,C,9.83,9.83,10.02,13.5,69.58,4.31,1212.86,1282.18,cylindrical,type3,4.98,13.33,tungsten,0.258,804.254,375.009,2.145,19300,0.4559,0.113,52.97,Aluminum,21.74,38.3,7369.86,0
40 mm,B,13.88,13.88,17.24,18.31,49.62,2.71,1426.78,1505.04,ogive,type2,12.93,10.5,steel,0.251,685.055,1066.808,0.642,7800,0.159,0.273,41.32,Titanium,20.88,22.7,17547.74,0
29 mm,B,5.38,5.38,22.99,24.23,76.2,3.45,1346.58,1372.21,cylindrical,type1,6.53,6.5,steel,0.465,808.947,2012.666,0.402,7800,0.4319,0.267,87.48,Titanium,7.67,32.3,20843.63,1
29 mm,B,5.11,5.11,5.02,7.03,42.67,1.04,1673.61,1634.85,cylindrical,type3,9.78,9.02,tungsten,0.848,239.487,2725.524,0.088,19300,0.3753,0.243,28.9,Aluminum,11.94,12.8,7030.44,0
29 mm,A,17.77,17.77,9.58,13.33,35.79,3.46,1221.23,1193.72,cylindrical,type3,9.07,5.37,steel,0.706,974.533,316.663,3.078,7800,0.1278,0.434,97.99,Titanium,18.8,15.7,7143.82,0
29 mm,A,5.7,5.7,9.2,11.39,79.7,1.83,895.79,823.45,spherical,type3,5.85,14.8,steel,0.732,290.2,246.559,1.177,7800,0.3169,0.356,96.03,Titanium,10.22,42.5,3691.22,0
40 mm,C,12.87,12.87,7.48,11.14,51.84,1.9,936.04,933.92,spherical,type3,7.71,7.66,tungsten,0.364,340.102,1858.718,0.183,19300,0.4847,0.262,68.7,Aluminum,13.34,33.1,3276.88,0
40 mm,C,14.22,14.22,8.32,10.71,71.79,1.03,1630.66,1578.16,cylindrical,type1,13.0,13.66,aluminum,0.714,561.097,2159.088,0.26,2700,0.4691,0.345,76.97,Steel,15.38,3.2,11061.66,0
29 mm,C,7.97,7.97,17.52,19.39,74.66,5.87,709.59,693.14,spherical,type1,9.13,14.71,steel,0.484,104.676,1903.068,0.055,7800,0.1585,0.437,22.97,Aluminum,5.34,20.6,4410.82,0
40 mm,B,18.44,18.44,7.05,10.75,51.11,7.52,1656.04,1669.07,ogive,type2,2.72,8.97,aluminum,0.242,498.204,2924.521,0.17,2700,0.1693,0.421,54.97,Steel,17.76,17.8,9667.2,0
40 mm,A,7.85,7.85,19.77,22.45,47.34,5.35,761.15,661.96,cylindrical,type1,11.27,11.49,tungsten,0.476,276.153,840.831,0.328,19300,0.1615,0.468,90.77,Titanium,29.87,10.4,5726.87,0
29 mm,C,18.27,18.27,22.74,24.82,53.17,1.67,1130.82,1067.63,spherical,type2,4.37,9.44,tungsten,0.292,774.116,1547.485,0.5,19300,0.4025,0.518,20.92,Aluminum,15.21,44.8,14539.43,1
40 mm,B,16.44,16.44,23.53,24.66,70.86,7.93,1580.19,1554.85,cylindrical,type1,8.32,3.19,aluminum,0.798,781.978,2764.526,0.283,2700,0.1643,0.457,43.25,Titanium,11.86,6.1,29377.21,1
29 mm,A,8.61,8.61,18.2,19.53,77.88,7.83,1148.38,1145.75,spherical,type2,8.09,14.38,aluminum,0.788,654.161,1928.992,0.339,2700,0.1258,0.149,48.31,Aluminum,11.32,14.1,12000.87,1
40 mm,C,7.26,7.26,8.95,10.37,39.7,4.28,1604.58,1579.89,cylindrical,type2,8.32,7.94,tungsten,0.401,479.517,1815.942,0.264,19300,0.2561,0.516,74.01,Steel,17.88,38.2,11521.68,0
40 mm,C,9.74,9.74,6.71,8.8,64.32,1.76,810.33,796.8,ogive,type2,2.4,13.62,aluminum,0.628,379.211,2811.957,0.135,2700,0.4868,0.233,76.39,Titanium,16.4,6.0,2203.01,0
29 mm,C,10.97,10.97,9.64,12.46,37.12,6.05,1262.7,1227.39,spherical,type3,5.54,10.52,tungsten,0.455,844.716,1148.928,0.735,19300,0.2233,0.416,25.22,Aluminum,26.55,16.9,7685.06,0
29 mm,A,8.69,8.69,24.24,26.16,56.66,7.73,1340.72,1268.25,cylindrical,type2,2.66,3.37,steel,0.308,556.384,640.092,0.869,7800,0.3897,0.595,37.4,Titanium,20.98,28.5,21786.07,1
40 mm,C,19.98,19.98,24.25,25.45,68.29,6.45,1679.96,1653.22,spherical,type2,7.39,7.42,tungsten,0.655,546.82,561.846,0.973,19300,0.1576,0.212,86.04,Steel,14.97,15.2,34219.97,1
29 mm,B,8.44,8.44,12.64,14.43,73.19,5.37,802.98,792.32,cylindrical,type1,10.08,4.55,steel,0.732,202.09,2501.242,0.081,7800,0.3485,0.199,35.35,Aluminum,14.64,18.4,4074.99,0
40 mm,B,17.46,17.46,11.52,13.75,46.92,5.28,1072.46,1056.94,spherical,type2,10.5,4.21,aluminum,0.742,296.545,2599.455,0.114,2700,0.3325,0.15,42.92,Aluminum,18.68,24.8,6624.98,0
40 mm,C,7.39,7.39,15.2,19.18,42.19,7.85,1425.28,1430.87,cylindrical,type1,2.84,11.3,aluminum,0.304,424.44,854.859,0.497,2700,0.4617,0.591,32.98,Titanium,11.33,42.9,15438.82,1
40 mm,B,19.7,19.7,10.83,13.01,35.21,1.51,1777.92,1798.86,cylindrical,type1,3.55,2.39,aluminum,0.559,728.968,1479.8,0.493,2700,0.3866,0.285,80.35,Titanium,15.57,39.2,17116.81,1
40 mm,A,8.38,8.38,24.59,25.86,28.01,2.05,1633.1,1667.19,spherical,type2,10.6,14.56,tungsten,0.217,860.744,1837.585,0.468,19300,0.1483,0.481,22.17,Titanium,12.13,5.0,32790.96,1
29 mm,A,11.33,11.33,9.42,12.16,41.9,6.82,1631.14,1599.46,cylindrical,type1,8.91,7.85,aluminum,0.263,993.574,589.295,1.686,2700,0.2619,0.077,44.15,Steel,17.89,25.6,12531.51,0
29 mm,B,13.38,13.38,12.38,16.14,72.32,2.02,1268.9,1190.11,ogive,type2,12.83,8.37,steel,0.257,484.689,2576.67,0.188,7800,0.1002,0.149,62.59,Aluminum,18.67,29.4,9966.56,0
29 mm,C,6.8,6.8,13.59,16.95,45.13,3.68,1320.73,1384.31,ogive,type1,4.67,5.89,steel,0.24,507.884,1372.859,0.37,7800,0.1964,0.085,20.48,Aluminum,26.17,14.7,11852.71,0
29 mm,C,17.25,17.25,7.5,11.01,39.04,2.97,1644.44,1663.71,spherical,type3,3.56,3.11,aluminum,0.434,789.454,2617.727,0.302,2700,0.4885,0.499,96.32,Steel,11.28,11.9,10140.69,0
29 mm,B,9.12,9.12,12.66,16.44,64.35,2.7,1656.59,1608.86,cylindrical,type3,6.71,9.65,steel,0.45,389.104,2328.215,0.167,7800,0.2823,0.109,89.54,Steel,27.62,26.9,17371.36,0
40 mm,C,13.24,13.24,22.13,25.04,32.94,1.18,1582.5,1596.39,ogive,type1,10.28,6.48,steel,0.689,586.466,1025.872,0.572,7800,0.447,0.558,71.79,Titanium,18.38,18.7,27710.15,1
29 mm,C,13.24,13.24,7.81,11.79,35.38,4.96,1600.43,1653.83,cylindrical,type2,8.32,10.11,steel,0.431,709.316,2206.408,0.321,7800,0.1095,0.415,55.13,Steel,23.17,40.7,10002.17,0
40 mm,B,14.04,14.04,16.68,17.78,76.15,3.81,1667.59,1754.05,spherical,type2,3.28,9.23,steel,0.298,312.625,2273.974,0.137,7800,0.452,0.55,32.42,Aluminum,20.29,7.4,23192.34,1
40 mm,B,5.83,5.83,13.13,16.63,24.9,4.86,825.16,837.69,cylindrical,type2,2.93,4.82,aluminum,0.863,351.631,1071.537,0.328,2700,0.4558,0.275,64.29,Titanium,25.73,1.8,4470.04,0
40 mm,C,7.53,7.53,8.41,11.98,44.88,3.13,1021.9,1074.88,spherical,type2,10.81,8.0,steel,0.813,420.572,910.46,0.462,7800,0.3614,0.339,39.14,Titanium,21.58,40.5,4391.2,0
40 mm,B,7.42,7.42,5.25,9.0,54.61,7.59,1773.72,1713.24,spherical,type3,5.86,6.0,steel,0.287,619.916,2505.598,0.247,7800,0.1465,0.065,71.04,Aluminum,5.28,40.3,8258.47,1
29 mm,A,9.53,9.53,10.47,12.9,33.82,5.14,1299.25,1297.45,cylindrical,type2,10.7,5.12,tungsten,0.454,343.374,2098.213,0.164,19300,0.4504,0.306,31.65,Titanium,14.76,18.8,8836.94,0
40 mm,C,7.17,7.17,6.24,9.6,36.86,7.73,894.11,877.36,cylindrical,type1,5.83,12.01,steel,0.318,287.351,2270.805,0.127,7800,0.4599,0.375,77.37,Titanium,28.46,33.9,2494.23,0
29 mm,B,18.83,18.83,12.54,14.13,33.31,3.45,1253.36,1270.49,ogive,type2,6.09,2.15,aluminum,0.871,234.557,1076.555,0.218,2700,0.1804,0.105,45.83,Steel,16.29,38.1,9849.61,0
29 mm,B,12.69,12.69,21.2,24.01,40.71,1.02,1410.36,1490.92,cylindrical,type1,4.73,5.5,steel,0.449,828.379,2222.143,0.373,7800,0.4761,0.59,60.16,Titanium,25.71,11.5,21084.62,0
40 mm,C,14.35,14.35,19.39,21.47,73.91,6.47,1611.04,1623.53,ogive,type2,14.79,8.9,tungsten,0.269,897.374,2200.058,0.408,19300,0.4524,0.052,32.95,Titanium,26.72,29.4,25162.89,1
29 mm,C,10.36,10.36,23.95,26.74,45.9,6.79,1593.39,1546.51,cylindrical,type1,2.21,8.19,steel,0.709,914.25,1133.17,0.807,7800,0.182,0.197,40.5,Titanium,13.31,33.2,30403.23,1
29 mm,A,9.14,9.14,13.54,16.57,45.07,1.41,754.17,691.0,ogive,type1,3.65,14.22,aluminum,0.698,839.47,957.288,0.877,2700,0.2575,0.389,56.02,Aluminum,26.44,16.1,3850.59,0
29 mm,B,12.55,12.55,19.16,21.2,43.19,5.38,1198.88,1281.17,spherical,type3,12.87,12.97,tungsten,0.369,223.56,1407.906,0.159,19300,0.2347,0.324,56.65,Steel,14.44,42.6,13769.46,1
40 mm,A,9.41,9.41,18.31,19.96,77.85,5.63,722.63,748.32,spherical,type1,3.8,11.77,tungsten,0.425,187.977,2269.458,0.083,19300,0.2993,0.182,99.98,Steel,5.63,43.5,4780.69,0
29 mm,B,10.15,10.15,9.34,11.31,27.04,2.02,1676.97,1699.37,ogive,type3,5.65,8.68,steel,0.491,549.248,742.045,0.74,7800,0.4556,0.593,46.83,Aluminum,22.36,21.9,13133.11,0
29 mm,B,11.79,11.79,11.07,14.06,72.31,4.87,891.3,874.11,ogive,type3,5.42,7.58,steel,0.387,569.284,2647.935,0.215,7800,0.4497,0.154,26.75,Steel,25.51,3.4,4397.09,0
29 mm,B,12.59,12.59,15.6,18.63,39.63,2.7,1387.36,1400.75,ogive,type2,11.06,2.48,tungsten,0.402,759.541,914.773,0.83,19300,0.1703,0.363,61.94,Aluminum,16.29,41.4,15013.19,1
40 mm,C,19.76,19.76,20.93,24.15,77.39,1.12,1327.68,1278.33,spherical,type3,7.35,12.68,aluminum,0.761,300.593,2550.974,0.118,2700,0.3205,0.114,45.75,Aluminum,9.34,23.5,18447.01,1
29 mm,B,8.35,8.35,14.24,15.62,38.91,7.07,1388.08,1407.44,spherical,type1,12.93,7.6,aluminum,0.726,937.855,636.267,1.474,2700,0.3136,0.081,90.22,Titanium,20.38,6.2,13718.57,0
29 mm,B,12.32,12.32,9.55,13.01,24.97,4.44,1319.76,1261.02,ogive,type1,11.72,6.17,steel,0.685,378.937,2270.434,0.167,7800,0.2802,0.318,36.82,Aluminum,23.46,32.9,8316.93,0
29 mm,B,7.24,7.24,24.87,27.93,51.2,6.47,1487.15,1469.19,cylindrical,type1,8.9,9.89,steel,0.681,620.028,1771.906,0.35,7800,0.3859,0.493,88.45,Aluminum,21.37,30.9,27501.43,1
40 mm,A,10.25,10.25,7.31,8.4,33.67,6.06,1388.72,1356.58,spherical,type2,5.24,11.8,tungsten,0.565,877.792,2052.085,0.428,19300,0.3584,0.342,73.09,Aluminum,13.89,6.3,7048.83,0
40 mm,A,15.76,15.76,24.12,26.13,65.18,7.96,799.33,636.46,ogive,type2,12.3,8.8,aluminum,0.446,571.103,2927.582,0.195,2700,0.21,0.211,35.04,Steel,14.21,12.4,7705.48,0
40 mm,C,7.62,7.62,21.18,23.58,59.44,4.07,1103.44,1086.1,ogive,type3,13.26,3.94,aluminum,0.704,778.202,347.162,2.242,2700,0.2393,0.059,52.42,Titanium,18.73,38.9,12894.17,0
29 mm,A,13.72,13.72,21.78,23.86,61.19,3.99,1301.25,1256.31,spherical,type2,12.87,13.98,steel,0.281,774.124,617.556,1.254,7800,0.4553,0.567,59.39,Aluminum,9.83,43.6,18439.51,1
29 mm,A,11.25,11.25,20.9,22.25,31.61,2.97,1057.72,1047.2,ogive,type1,2.67,3.47,steel,0.299,811.019,421.437,1.924,7800,0.2303,0.167,61.74,Steel,26.15,18.2,11691.16,0
40 mm,C,5.77,5.77,9.16,10.78,62.52,5.38,1536.36,1536.45,ogive,type3,11.07,14.6,aluminum,0.288,829.943,1654.983,0.501,2700,0.2776,0.366,51.77,Titanium,7.56,6.1,10810.64,1
40 mm,A,19.0,19.0,17.65,18.72,38.68,4.4,1049.69,1138.09,cylindrical,type3,11.15,7.75,aluminum,0.713,453.217,2447.86,0.185,2700,0.4892,0.059,66.77,Steel,17.16,15.8,9723.82,0
40 mm,B,11.2,11.2,20.13,21.41,79.92,6.1,1611.55,1626.79,cylindrical,type3,14.26,14.31,tungsten,0.614,427.201,353.509,1.208,19300,0.4429,0.103,77.34,Steel,26.49,22.8,26139.75,1
29 mm,C,16.76,16.76,19.91,21.71,63.91,3.5,861.41,878.12,spherical,type2,5.43,13.89,aluminum,0.515,823.148,2382.339,0.346,2700,0.3796,0.144,60.49,Steel,18.24,13.5,7386.88,0
29 mm,B,11.24,11.24,10.43,13.89,55.42,1.92,1546.33,1571.11,ogive,type2,12.22,7.28,aluminum,0.533,621.739,1412.556,0.44,2700,0.2216,0.112,68.19,Aluminum,24.02,27.5,12469.78,0
40 mm,A,19.06,19.06,8.62,11.2,72.03,7.04,901.81,945.4,ogive,type2,10.96,12.4,aluminum,0.779,646.942,2836.0,0.228,2700,0.3515,0.342,88.77,Titanium,10.99,0.4,3505.16,0
40 mm,A,9.36,9.36,11.56,13.83,55.36,6.8,1280.82,1303.53,ogive,type3,13.42,3.17,steel,0.285,470.726,1271.549,0.37,7800,0.3568,0.268,59.82,Titanium,16.14,36.7,9482.09,0
29 mm,C,11.18,11.18,14.6,17.59,53.16,3.46,1052.58,1066.67,ogive,type1,11.01,3.08,steel,0.468,281.453,2956.874,0.095,7800,0.2646,0.491,53.3,Steel,22.83,38.0,8087.85,0
40 mm,A,16.38,16.38,16.48,19.1,34.24,5.83,1401.07,1436.63,spherical,type3,13.08,6.63,tungsten,0.732,511.238,1758.26,0.291,19300,0.1144,0.114,39.82,Steel,27.21,35.3,16175.1,0
40 mm,C,10.16,10.16,21.74,23.13,60.69,4.45,934.01,812.68,cylindrical,type1,6.67,9.93,steel,0.66,972.682,2971.981,0.327,7800,0.2466,0.287,30.51,Titanium,21.08,13.7,9482.71,0
29 mm,A,10.47,10.47,20.38,22.05,42.48,6.33,1574.95,1679.4,cylindrical,type2,4.05,2.12,tungsten,0.505,361.78,1969.281,0.184,19300,0.3033,0.286,43.38,Aluminum,11.07,28.5,25275.96,1
40 mm,A,19.92,19.92,18.52,20.19,22.58,3.73,1330.94,1410.43,ogive,type1,6.72,8.7,steel,0.357,344.807,1169.74,0.295,7800,0.4801,0.177,52.49,Aluminum,8.66,16.4,16403.18,1
29 mm,C,13.33,13.33,10.27,13.07,68.96,4.75,1753.0,1763.86,cylindrical,type2,12.6,14.68,tungsten,0.863,217.706,2449.544,0.089,19300,0.391,0.103,81.14,Titanium,26.04,17.5,15779.9,0
29 mm,C,15.34,15.34,14.58,16.96,23.11,1.4,1482.95,1412.3,cylindrical,type3,3.71,13.16,steel,0.486,533.062,1563.488,0.341,7800,0.1432,0.056,37.39,Steel,18.85,31.9,16031.74,0
40 mm,C,14.65,14.65,11.71,13.87,60.34,2.22,1368.14,1428.66,spherical,type3,10.29,5.02,steel,0.814,359.677,1064.662,0.338,7800,0.2206,0.06,76.17,Steel,9.6,38.0,10959.43,1
40 mm,C,17.42,17.42,9.7,12.37,29.4,6.47,1612.07,1577.38,ogive,type3,14.84,8.86,tungsten,0.744,718.411,1539.339,0.467,19300,0.3087,0.269,26.32,Aluminum,17.14,37.4,12604.03,0
29 mm,A,17.93,17.93,5.2,9.11,45.95,3.67,941.65,968.34,cylindrical,type1,13.64,4.23,aluminum,0.803,221.612,2641.355,0.084,2700,0.2804,0.08,32.67,Steel,8.16,10.4,2305.43,0
40 mm,C,13.45,13.45,11.79,13.73,71.55,1.25,1396.02,1331.87,spherical,type1,10.73,5.42,steel,0.212,322.581,2250.461,0.143,7800,0.102,0.267,46.11,Steel,7.63,29.6,11488.6,1
29 mm,C,9.42,9.42,10.12,12.68,25.67,2.17,1129.44,1240.76,ogive,type3,12.3,14.0,aluminum,0.534,155.666,686.553,0.227,2700,0.474,0.291,57.59,Aluminum,28.0,12.0,6454.71,0
40 mm,A,5.34,5.34,16.44,18.88,60.03,3.88,1518.17,1446.06,spherical,type2,3.51,14.97,tungsten,0.382,137.324,2548.074,0.054,19300,0.4616,0.295,34.47,Steel,18.62,28.3,18945.79,1
29 mm,A,14.22,14.22,6.25,9.4,56.76,6.03,726.92,730.37,spherical,type1,8.48,5.15,aluminum,0.392,832.729,1407.972,0.591,2700,0.4695,0.155,28.96,Aluminum,11.22,16.5,1651.29,0
40 mm,C,17.38,17.38,10.41,13.6,72.05,3.54,1170.48,1064.37,spherical,type3,8.91,4.76,tungsten,0.389,915.29,432.032,2.119,19300,0.2714,0.324,65.27,Aluminum,27.03,35.5,7130.97,0
